incident_id,date,time,crime_category,area,district,latitude,longitude,location_type,description
SYN-2024-03509,2024-01-01,07:40:44,Vandalism,Downtown Central,District 1,37.776799,-122.407704,Park / Public Space,Reported Vandalism at Park / Public Space
SYN-2024-03055,2024-01-01,09:12:26,Narcotics,South Rail Corridor,District 4,37.748462,-122.384592,Parking Facility,Reported Narcotics at Parking Facility
SYN-2024-00040,2024-01-01,10:50:37,Motor Vehicle Theft,Westside Arts,District 5,37.775922,-122.43103,,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-04433,2024-01-02,01:29:30,Narcotics,Westside Arts,District 5,37.776208,-122.433908,Residential Apartment,Reported Narcotics at Residential Apartment
SYN-2024-02228,2024-01-02,12:25:58,Public Disorder,Downtown Central,District 1,37.780464,-122.419041,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-00302,2024-01-02,14:26:10,Burglary,Waterfront Marina,District 2,37.796142,-122.431167,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-00823,2024-01-02,17:12:54,Burglary,Mission Commercial,District 3,37.761902,-122.419838,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-02945,2024-01-02,20:12:43,Narcotics,South Rail Corridor,District 4,37.751411,-122.398008,Street / Sidewalk,Reported Narcotics at Street / Sidewalk
SYN-2024-04014,2024-01-03,12:01:50,Motor Vehicle Theft,Westside Arts,District 5,37.772695,-122.436955,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-03553,2024-01-03,12:39:58,Fraud,South Rail Corridor,District 4,37.747016,-122.39301,Parking Facility,Reported Fraud at Parking Facility
SYN-2024-04256,2024-01-03,17:01:50,Robbery,Waterfront Marina,District 2,37.796215,-122.443579,Parking Facility,Reported Robbery at Parking Facility
SYN-2024-02486,2024-01-03,18:32:47,Vandalism,Downtown Central,District 1,37.776274,-122.422313,Residential Apartment,Reported Vandalism at Residential Apartment
SYN-2024-00030,2024-01-04,08:16:10,Fraud,Westside Arts,District 5,37.781616,-122.429394,Bar / Restaurant,Reported Fraud at Bar / Restaurant
SYN-2024-01367,2024-01-04,12:37:55,Burglary,Mission Commercial,District 3,37.762353,-122.422357,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-03946,2024-01-04,17:56:50,Robbery,Westside Arts,District 5,37.764705,-122.43679,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-01675,2024-01-04,19:21:47,Burglary,Mission Commercial,District 3,37.761007,-122.419704,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-04313,2024-01-04,23:08:25,Burglary,Westside Arts,District 5,37.752668,-122.389242,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-01417,2024-01-05,02:52:28,Theft / Larceny,Downtown Central,District 1,37.780241,-122.420632,Street / Sidewalk,Reported Theft / Larceny at Street / Sidewalk
SYN-2024-02619,2024-01-05,14:56:51,Theft / Larceny,Downtown Central,District 1,37.778853,-122.410732,Transit Station,Reported Theft / Larceny at Transit Station
SYN-2024-02395,2024-01-05,18:11:16,Public Disorder,Downtown Central,District 1,37.782412,-122.419859,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-01728,2024-01-05,18:36:06,Assault,Mission Commercial,District 3,37.757498,-122.414603,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-02841,2024-01-05,20:20:21,Public Disorder,Mission Commercial,District 3,37.763639,-122.417907,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-04143,2024-01-05,20:24:31,Public Disorder,Westside Arts,District 5,37.770463,-122.427088,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-03971,2024-01-05,21:20:11,Theft / Larceny,Waterfront Marina,District 2,37.802677,-122.438339,Alleyway,Reported Theft / Larceny at Alleyway
SYN-2024-03753,2024-01-05,21:21:14,Burglary,Mission Commercial,District 3,37.761555,-122.418686,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-03337,2024-01-05,23:52:54,Assault,Mission Commercial,District 3,37.754264,-122.424397,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-03788,2024-01-06,00:07:41,Motor Vehicle Theft,South Rail Corridor,District 4,37.754183,-122.395458,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-01072,2024-01-06,10:35:50,Burglary,Mission Commercial,District 3,37.758771,-122.423648,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-03906,2024-01-06,13:34:05,Theft / Larceny,Mission Commercial,District 3,37.762298,-122.420633,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
SYN-2024-00383,2024-01-06,13:35:05,Assault,Downtown Central,District 1,37.773099,-122.413392,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-01564,2024-01-06,15:33:13,Motor Vehicle Theft,Westside Arts,District 5,37.774377,-122.432122,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-03326,2024-01-06,18:35:23,Theft / Larceny,Westside Arts,District 5,37.775492,-122.430628,Alleyway,Reported Theft / Larceny at Alleyway
SYN-2024-00410,2024-01-06,19:52:09,Theft / Larceny,Mission Commercial,District 3,37.760972,-122.418465,Transit Station,Reported Theft / Larceny at Transit Station
